ID;Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Faculty;Study time;Age;Study load Average/day ;Hit target;Disciplinary failure;Education;Son;Social drinker;Social smoker;Pet;Weight;Height;Body mass index;Email;absenteeism per session
11;26;7;3;1;289;36;13;20;239.554;97;0;1;2;1;0;1;90;172;30;bgxxgo2a@esprit.com;4
36;0;7;3;1;118;13;18;29;239.554;97;1;1;1;1;0;0;98;178;31;nix6o1a8@esprit.com;0
3;23;7;4;1;179;51;18;23;239.554;97;0;1;0;1;0;0;89;170;31;f3y8ldr6@esprit.com;2
7;7;7;5;1;279;5;14;23;239.554;97;0;1;2;1;1;0;68;168;24;skpao4kz@esprit.com;4
11;23;7;5;1;289;36;13;20;239.554;97;0;1;2;1;0;1;90;172;30;5vgfamwc@esprit.com;2
3;23;7;6;1;179;51;18;23;239.554;97;0;1;0;1;0;0;89;170;31;9flp61t0@esprit.com;2
10;22;7;6;1;361;52;3;18;239.554;97;0;1;1;1;0;4;80;172;27;77ki532y@esprit.com;8
20;23;7;6;1;260;50;11;22;239.554;97;0;1;4;1;0;0;65;168;23;ou4uyhoz@esprit.com;4
14;19;7;2;1;155;12;14;21;239.554;97;0;1;2;1;0;0;95;196;25;3aa8d2gr@esprit.com;40
1;22;7;2;1;235;11;14;22;239.554;97;0;3;1;0;0;1;88;172;29;q15c4lmb@esprit.com;8
20;1;7;2;1;260;50;11;22;239.554;97;0;1;4;1;0;0;65;168;23;45sg6i7b@esprit.com;8
20;1;7;3;1;260;50;11;22;239.554;97;0;1;4;1;0;0;65;168;23;1l0rvwhv@esprit.com;8
20;11;7;4;1;260;50;11;22;239.554;97;0;1;4;1;0;0;65;168;23;8r5qbs2r@esprit.com;8
3;11;7;4;1;179;51;18;23;239.554;97;0;1;0;1;0;0;89;170;31;hsu9klth@esprit.com;1
3;23;7;4;1;179;51;18;23;239.554;97;0;1;0;1;0;0;89;170;31;g9dw6vqr@esprit.com;4
24;14;7;6;1;246;25;16;24;239.554;97;0;1;0;1;0;0;67;170;23;uz75mwqa@esprit.com;8
3;23;7;6;1;179;51;18;23;239.554;97;0;1;0;1;0;0;89;170;31;fvxzt7xm@esprit.com;2
3;21;7;2;1;179;51;18;23;239.554;97;0;1;0;1;0;0;89;170;31;8uhon5d5@esprit.com;8
6;11;7;5;1;189;29;13;20;239.554;97;0;1;2;0;0;2;69;167;25;tooyg372@esprit.com;8
33;23;8;4;1;248;25;14;27;205.917;92;0;1;2;0;0;1;86;165;32;5czwdnwy@esprit.com;2
18;10;8;4;1;330;16;4;18;205.917;92;0;2;0;0;0;0;84;182;25;po4rujhb@esprit.com;8
3;11;8;2;1;179;51;18;23;205.917;92;0;1;0;1;0;0;89;170;31;bqkfov7a@esprit.com;1
10;13;8;2;1;361;52;3;18;205.917;92;0;1;1;1;0;4;80;172;27;0mjq65ea@esprit.com;40
20;28;8;6;1;260;50;11;22;205.917;92;0;1;4;1;0;0;65;168;23;8kmuyw00@esprit.com;4
11;18;8;2;1;289;36;13;20;205.917;92;0;1;2;1;0;1;90;172;30;4ezkbtxw@esprit.com;8
10;25;8;2;1;361;52;3;18;205.917;92;0;1;1;1;0;4;80;172;27;qakevy1i@esprit.com;7
11;23;8;3;1;289;36;13;20;205.917;92;0;1;2;1;0;1;90;172;30;4wh0y1cp@esprit.com;1
30;28;8;4;1;157;27;6;18;205.917;92;0;1;0;1;1;0;75;185;22;255qbyz5@esprit.com;4
11;18;8;4;1;289;36;13;20;205.917;92;0;1;2;1;0;1;90;172;30;owvhmxqq@esprit.com;8
3;23;8;6;1;179;51;18;23;205.917;92;0;1;0;1;0;0;89;170;31;f2lisoqq@esprit.com;2
3;18;8;2;1;179;51;18;23;205.917;92;0;1;0;1;0;0;89;170;31;vfgv9g52@esprit.com;8
2;18;8;5;1;235;29;12;28;205.917;92;0;1;1;0;1;5;88;163;33;l5wr1yal@esprit.com;8
1;23;8;5;1;235;11;14;22;205.917;92;0;3;1;0;0;1;88;172;29;5yeiw8c3@esprit.com;4
2;18;8;2;1;235;29;12;28;205.917;92;0;1;1;0;1;5;88;163;33;r86rrzkt@esprit.com;8
3;23;8;2;1;179;51;18;23;205.917;92;0;1;0;1;0;0;89;170;31;vhzd57q1@esprit.com;2
10;23;8;2;1;361;52;3;18;205.917;92;0;1;1;1;0;4;80;172;27;b2khd9vs@esprit.com;1
11;24;8;3;1;289;36;13;20;205.917;92;0;1;2;1;0;1;90;172;30;cug36j0r@esprit.com;8
19;11;8;5;1;291;50;12;20;205.917;92;0;1;0;1;0;0;65;169;23;zqcbgb2v@esprit.com;4
2;28;8;6;1;235;29;12;28;205.917;92;0;1;1;0;1;5;88;163;33;avkmix15@esprit.com;8
20;23;8;6;1;260;50;11;22;205.917;92;0;1;4;1;0;0;65;168;23;ufcer04p@esprit.com;4
27;23;9;3;1;184;42;7;18;241.476;92;0;1;0;0;0;0;58;167;21;x937p2kv@esprit.com;2
34;23;9;2;1;118;10;10;22;241.476;92;0;1;0;0;0;0;83;172;28;1dmvdifg@esprit.com;4
3;23;9;3;1;179;51;18;23;241.476;92;0;1;0;1;0;0;89;170;31;ng9x1iu5@esprit.com;4
5;19;9;3;1;235;20;13;25;241.476;92;0;1;1;1;0;0;106;167;38;rxf19gpv@esprit.com;8
14;23;9;4;1;155;12;14;21;241.476;92;0;1;2;1;0;0;95;196;25;3hw7n8tt@esprit.com;2
34;23;9;2;1;118;10;10;22;241.476;92;0;1;0;0;0;0;83;172;28;r3616i91@esprit.com;3
3;23;9;3;1;179;51;18;23;241.476;92;0;1;0;1;0;0;89;170;31;itgcyi80@esprit.com;3
15;23;9;5;1;291;31;12;24;241.476;92;0;1;1;1;0;1;73;171;25;4pyn0mh0@esprit.com;4
20;22;9;6;1;260;50;11;22;241.476;92;0;1;4;1;0;0;65;168;23;zg3klr0g@esprit.com;8
15;14;9;2;4;291;31;12;24;241.476;92;0;1;1;1;0;1;73;171;25;d4rqnzj7@esprit.com;32
20;0;9;2;4;260;50;11;22;241.476;92;1;1;4;1;0;0;65;168;23;of240j3f@esprit.com;0
29;0;9;2;4;225;26;9;18;241.476;92;1;1;1;0;0;2;69;169;24;cf431caq@esprit.com;0
28;23;9;3;4;225;26;9;18;241.476;92;0;1;1;0;0;2;69;169;24;ljg3ipge@esprit.com;2
34;23;9;3;4;118;10;10;22;241.476;92;0;1;0;0;0;0;83;172;28;9sq03svi@esprit.com;2
11;0;9;3;4;289;36;13;20;241.476;92;1;1;2;1;0;1;90;172;30;mfsm0m7o@esprit.com;0
36;0;9;3;4;118;13;18;29;241.476;92;1;1;1;1;0;0;98;178;31;w7gr5wbx@esprit.com;0
28;18;9;4;4;225;26;9;18;241.476;92;0;1;1;0;0;2;69;169;24;1lpqphcx@esprit.com;3
3;23;9;4;4;179;51;18;23;241.476;92;0;1;0;1;0;0;89;170;31;vcgw80oz@esprit.com;3
13;0;9;4;4;369;17;12;19;241.476;92;1;1;3;1;0;0;70;169;25;fesbj6c8@esprit.com;0
33;23;9;6;4;248;25;14;27;241.476;92;0;1;2;0;0;1;86;165;32;i035sobt@esprit.com;1
3;23;9;6;4;179;51;18;23;241.476;92;0;1;0;1;0;0;89;170;31;glqinsfk@esprit.com;3
20;23;9;6;4;260;50;11;22;241.476;92;0;1;4;1;0;0;65;168;23;a9rgyolp@esprit.com;4
3;23;10;3;4;179;51;18;23;253.465;93;0;1;0;1;0;0;89;170;31;ctytkm4g@esprit.com;3
